,entry_discipline,entry_category,entry_rank,athlete_firstname,athlete_lastname,athlete_country,athlete_speed_personal_best_score,event_name,event_location,event_year,event_month,event_day,athlete_age_at_event,athlete_max_rank,athlete_country_total_gold,athlete_country_total_silver,athlete_country_total_bronze,athlete_country_population,athlete_fullname,athlete_country_gold_per_capita,athlete_country_silver_per_capita,athlete_country_bronze_per_capita,athlete_golds_per_discipline
0,boulder,women,1,Giulia,MEDICI,ITA,10.99,FISU University Championships Koper 2024,Koper,2024,9,8,25,1,24,21,23,58986023,"MEDICI, Giulia",4.068760492633992,3.5601654310547435,3.8992288054409094,1
1,boulder,women,2,Sandra,LETTNER,AUT,9.07,FISU University Championships Koper 2024,Koper,2024,9,8,23,1,25,35,33,9178482,"LETTNER, Sandra",27.237619466922744,38.13266725369184,35.95365769633802,1
2,boulder,women,3,Roxana,WIENAND,DEU,10.88,FISU University Championships Koper 2024,Koper,2024,9,8,24,3,16,17,21,83510950,"WIENAND, Roxana",1.9159164157514674,2.035661191735934,2.514640295673801,0
3,boulder,women,4,Mia,AOYAGI,JPN,999.99,FISU University Championships Koper 2024,Koper,2024,9,8,21,3,79,96,77,123975371,"AOYAGI, Mia",6.372233401100289,7.743473500071236,6.210911036515471,0
4,boulder,women,5,Ryu,NAKAGAWA,JPN,999.99,FISU University Championships Koper 2024,Koper,2024,9,8,20,1,79,96,77,123975371,"NAKAGAWA, Ryu",6.372233401100289,7.743473500071236,6.210911036515471,1
5,boulder,women,6,Ai,TAKEUCHI,JPN,7.78,FISU University Championships Koper 2024,Koper,2024,9,8,19,6,79,96,77,123975371,"TAKEUCHI, Ai",6.372233401100289,7.743473500071236,6.210911036515471,0
6,boulder,women,7,Louise,FLOCKHART,GBR,10.91,FISU University Championships Koper 2024,Koper,2024,9,8,20,4,17,13,15,69226000,"FLOCKHART, Louise",2.455724727703464,1.8779071447144138,2.166815936208939,0
7,boulder,women,8,Valentina,AGUADO,ARG,9.92,FISU University Championships Koper 2024,Koper,2024,9,8,23,2,1,6,1,45696159,"AGUADO, Valentina",0.21883677356777403,1.313020641406644,0.21883677356777403,0
8,boulder,women,9,Irina,DAZIANO,ITA,999.99,FISU University Championships Koper 2024,Koper,2024,9,8,20,2,24,21,23,58986023,"DAZIANO, Irina",4.068760492633992,3.5601654310547435,3.8992288054409094,0
9,boulder,women,10,Sana,OGURA,JPN,12.31,FISU University Championships Koper 2024,Koper,2024,9,8,19,10,79,96,77,123975371,"OGURA, Sana",6.372233401100289,7.743473500071236,6.210911036515471,0
10,boulder,women,1,Lianet,CASTILLO,VEN,999.99,IFSC South America Cup Curitiba 2024,Curitiba,2024,12,14,21,1,1,0,0,28405543,"CASTILLO, Lianet",0.35204396550349343,0.0,0.0,1
11,boulder,women,2,Valentina,AGUADO,ARG,9.92,IFSC South America Cup Curitiba 2024,Curitiba,2024,12,14,23,2,1,6,1,45696159,"AGUADO, Valentina",0.21883677356777403,1.313020641406644,0.21883677356777403,0
12,boulder,women,3,Alejandra,CONTRERAS,CHL,9.11,IFSC South America Cup Curitiba 2024,Curitiba,2024,12,14,23,1,5,3,4,19764771,"CONTRERAS, Alejandra",2.5297535701273746,1.5178521420764246,2.0238028561019,1
13,boulder,women,4,Martina,CASTRO,CHL,999.99,IFSC South America Cup Curitiba 2024,Curitiba,2024,12,14,19,4,5,3,4,19764771,"CASTRO, Martina",2.5297535701273746,1.5178521420764246,2.0238028561019,0
14,boulder,women,5,Anja,KÖHLER ,BRA,12.87,IFSC South America Cup Curitiba 2024,Curitiba,2024,12,14,20,1,2,2,2,211998573,"KÖHLER , Anja",0.09434025765824376,0.09434025765824376,0.09434025765824376,1
15,boulder,women,6,Mariana,HANGGI CORREIA,BRA,999.99,IFSC South America Cup Curitiba 2024,Curitiba,2024,12,14,18,3,2,2,2,211998573,"HANGGI CORREIA, Mariana",0.09434025765824376,0.09434025765824376,0.09434025765824376,0
16,boulder,women,7,Marian Kiara Luna,MICHERI,ARG,999.99,IFSC South America Cup Curitiba 2024,Curitiba,2024,12,14,19,1,1,6,1,45696159,"MICHERI, Marian Kiara Luna",0.21883677356777403,1.313020641406644,0.21883677356777403,1
17,boulder,women,8,Camila,GONZALEZ,CHL,999.99,IFSC South America Cup Curitiba 2024,Curitiba,2024,12,14,20,6,5,3,4,19764771,"GONZALEZ, Camila",2.5297535701273746,1.5178521420764246,2.0238028561019,0
18,boulder,women,9,Matilde,CABEZAS,CHL,999.99,IFSC South America Cup Curitiba 2024,Curitiba,2024,12,14,17,3,5,3,4,19764771,"CABEZAS, Matilde",2.5297535701273746,1.5178521420764246,2.0238028561019,0
19,boulder,women,10,Saray,GARCIA,COL,999.99,IFSC South America Cup Curitiba 2024,Curitiba,2024,12,14,18,4,0,0,0,52886363,"GARCIA, Saray",0.0,0.0,0.0,0
20,boulder,women,1,Marian Kiara Luna,MICHERI,ARG,999.99,IFSC South America Cup Mar del Plata 2024,Mar del Plata,2024,11,29,19,1,1,6,1,45696159,"MICHERI, Marian Kiara Luna",0.21883677356777403,1.313020641406644,0.21883677356777403,1
21,boulder,women,2,Valentina,AGUADO,ARG,9.92,IFSC South America Cup Mar del Plata 2024,Mar del Plata,2024,11,29,23,2,1,6,1,45696159,"AGUADO, Valentina",0.21883677356777403,1.313020641406644,0.21883677356777403,0
22,boulder,women,3,Mariana,HANGGI CORREIA,BRA,999.99,IFSC South America Cup Mar del Plata 2024,Mar del Plata,2024,11,29,17,3,2,2,2,211998573,"HANGGI CORREIA, Mariana",0.09434025765824376,0.09434025765824376,0.09434025765824376,0
23,boulder,women,4,Saray,GARCIA,COL,999.99,IFSC South America Cup Mar del Plata 2024,Mar del Plata,2024,11,29,18,4,0,0,0,52886363,"GARCIA, Saray",0.0,0.0,0.0,0
24,boulder,women,5,Matilde,CABEZAS,CHL,999.99,IFSC South America Cup Mar del Plata 2024,Mar del Plata,2024,11,29,17,3,5,3,4,19764771,"CABEZAS, Matilde",2.5297535701273746,1.5178521420764246,2.0238028561019,0
25,boulder,women,6,Isabella,GARCIA,COL,999.99,IFSC South America Cup Mar del Plata 2024,Mar del Plata,2024,11,29,20,5,0,0,0,52886363,"GARCIA, Isabella",0.0,0.0,0.0,0
26,boulder,women,7,Maya,VÁSQUEZ,CHL,999.99,IFSC South America Cup Mar del Plata 2024,Mar del Plata,2024,11,29,17,6,5,3,4,19764771,"VÁSQUEZ, Maya",2.5297535701273746,1.5178521420764246,2.0238028561019,0
27,boulder,women,8,Anja,KÖHLER ,BRA,12.87,IFSC South America Cup Mar del Plata 2024,Mar del Plata,2024,11,29,20,1,2,2,2,211998573,"KÖHLER , Anja",0.09434025765824376,0.09434025765824376,0.09434025765824376,1
28,boulder,women,9,Malena,TORREJON BOYADJIAN,ARG,999.99,IFSC South America Cup Mar del Plata 2024,Mar del Plata,2024,11,29,18,8,1,6,1,45696159,"TORREJON BOYADJIAN, Malena",0.21883677356777403,1.313020641406644,0.21883677356777403,0
29,boulder,women,10,Eluney Amancay,HUENUPI,ARG,999.99,IFSC South America Cup Mar del Plata 2024,Mar del Plata,2024,11,29,18,10,1,6,1,45696159,"HUENUPI, Eluney Amancay",0.21883677356777403,1.313020641406644,0.21883677356777403,0
